Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,TeamName,Year
KK Nair,11,11,1,330,73,33.00,232,142.24,0,3,0,38,9,Rajasthan Royals,2014
SP Narine,16,5,3,10,6,5.00,14,71.42,0,0,1,0,0,Kolkata Knight Riders,2014
AM Nayar,5,4,1,43,23,14.33,47,91.48,0,0,0,5,1,Rajasthan Royals,2014
JDS Neesham,4,3,0,42,22,14.00,46,91.30,0,0,0,3,1,Delhi Daredevils,2014
P Negi,2,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2014
A Nehra,4,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2014
NV Ojha,11,10,4,232,79,38.66,161,144.09,0,1,0,14,17,Sunrisers Hyderabad,2014
PP Ojha,12,3,2,4,2,4.00,8,50.00,0,0,0,0,0,Mumbai Indians,2014
IC Pandey,13,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2014
MK Pandey,16,16,3,401,94,30.84,340,117.94,0,2,1,35,10,Kolkata Knight Riders,2014
WD Parnell,8,2,1,2,2,2.00,2,100.00,0,0,0,0,0,Delhi Daredevils,2014
Parvez Rasool,3,1,1,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2014
AR Patel,17,8,2,62,42,10.33,60,103.33,0,0,0,6,1,Kings XI Punjab,2014
HV Patel,3,3,1,13,6,6.50,7,185.71,0,0,0,1,1,Royal Challengers Bangalore,2014
PA Patel,12,12,2,205,57,20.50,185,110.81,0,1,0,30,1,Royal Challengers Bangalore,2014
IK Pathan,10,6,4,55,23,27.50,54,101.85,0,0,0,5,0,Sunrisers Hyderabad,2014
YK Pathan,15,12,3,268,72,29.77,165,162.42,0,1,2,15,20,Kolkata Knight Riders,2014
KP Pietersen,11,11,1,294,58,29.40,233,126.18,0,1,1,34,7,Delhi Daredevils,2014
KA Pollard,15,15,7,273,78,34.12,203,134.48,0,1,1,15,15,Mumbai Indians,2014
CA Pujara,6,6,1,125,40,25.00,124,100.80,0,0,0,17,0,Kings XI Punjab,2014
AM Rahane,13,12,0,339,72,28.25,291,116.49,0,3,1,38,3,Rajasthan Royals,2014
KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,0,12,3,Sunrisers Hyderabad,2014
SK Raina,16,16,3,523,87,40.23,359,145.68,0,5,0,51,19,Chennai Super Kings,2014
R Rampaul,2,1,0,13,13,13.00,13,100.00,0,0,0,0,1,Royal Challengers Bangalore,2014
S Rana,9,7,4,73,19,24.33,65,112.30,0,0,0,7,1,Royal Challengers Bangalore,2014
AT Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,0,31,8,Mumbai Indians,2014
KW Richardson,7,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Rajasthan Royals,2014
RR Rossouw,3,3,0,39,24,13.00,41,95.12,0,0,0,2,2,Royal Challengers Bangalore,2014
AD Russell,2,2,0,2,1,1.00,8,25.00,0,0,0,0,0,Kolkata Knight Riders,2014
WP Saha,17,13,2,362,115,32.90,249,145.38,1,2,0,33,18,Kings XI Punjab,2014
DJG Sammy,10,9,2,108,29,15.42,91,118.68,0,0,1,4,8,Sunrisers Hyderabad,2014
