Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,TeamName,Year
KK Nair,14,13,0,281,64,21.61,226,124.33,0,1,1,39,6,Delhi Daredevils,2017
SP Narine,16,14,1,224,54,17.23,130,172.30,0,1,2,34,10,Kolkata Knight Riders,2017
T Natarajan,6,0,0,0,0,0,0,0,0,0,0,0,0,Kings XI Punjab,2017
P Negi,12,10,2,144,35,18.00,111,129.72,0,0,0,10,7,Royal Challengers Bangalore,2017
A Nehra,6,2,2,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2017
NV Ojha,14,5,1,79,34,19.75,65,121.53,0,0,0,2,3,Sunrisers Hyderabad,2017
MK Pandey,14,13,5,396,81,49.50,308,128.57,0,2,0,28,12,Kolkata Knight Riders,2017
HH Pandya,17,16,9,250,35,35.71,160,156.25,0,0,0,11,20,Mumbai Indians,2017
KH Pandya,13,11,4,243,47,34.71,179,135.75,0,0,0,24,7,Mumbai Indians,2017
RR Pant,14,14,0,366,97,26.14,221,165.61,0,2,3,28,24,Delhi Daredevils,2017
AR Patel,14,13,5,227,44,28.37,162,140.12,0,0,1,11,11,Kings XI Punjab,2017
HV Patel,1,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2017
MM Patel,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Gujarat Lions,2017
PA Patel,16,16,0,395,70,24.68,293,134.81,0,2,2,49,8,Mumbai Indians,2017
IK Pathan,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,Gujarat Lions,2017
YK Pathan,15,11,3,143,59,17.87,115,124.34,0,1,1,9,6,Kolkata Knight Riders,2017
KA Pollard,17,16,3,385,70,29.61,276,139.49,0,3,0,26,22,Mumbai Indians,2017
K Rabada,6,3,0,55,44,18.33,64,85.93,0,0,1,5,1,Delhi Daredevils,2017
AM Rahane,16,16,1,382,60,25.46,323,118.26,0,2,2,35,9,Rising Pune Supergiant,2017
SK Raina,14,14,3,442,84,40.18,307,143.97,0,3,0,42,13,Gujarat Lions,2017
AS Rajpoot,5,1,0,4,4,4.00,7,57.14,0,0,0,1,0,Kolkata Knight Riders,2017
N Rana,13,12,1,333,62,30.27,264,126.13,0,3,0,24,17,Mumbai Indians,2017
Rashid Khan,14,3,1,11,6,5.50,9,122.22,0,0,0,0,1,Sunrisers Hyderabad,2017
AT Rayudu,5,5,0,91,63,18.20,78,116.66,0,1,1,7,3,Mumbai Indians,2017
JJ Roy,3,3,1,59,31,29.50,40,147.50,0,0,0,9,1,Gujarat Lions,2017
Sachin Baby,3,3,0,15,12,5.00,15,100.00,0,0,0,2,0,Royal Challengers Bangalore,2017
WP Saha,14,11,1,234,93,23.40,187,125.13,0,1,1,20,8,Kings XI Punjab,2017
SV Samson,14,14,0,386,102,27.57,273,141.39,1,2,2,32,19,Delhi Daredevils,2017
MN Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,1,2,Delhi Daredevils,2017
Sandeep Sharma,13,4,4,7,5,0,6,116.66,0,0,0,0,0,Kings XI Punjab,2017
PJ Sangwan,5,3,1,2,1,1.00,4,50.00,0,0,1,0,0,Gujarat Lions,2017
V Shankar,4,4,2,101,63,50.50,75,134.66,0,1,0,12,1,Sunrisers Hyderabad,2017
Shakib Al Hasan,1,1,1,1,1,0,1,100.00,0,0,0,0,0,Kolkata Knight Riders,2017
I Sharma,6,3,1,8,5,4.00,12,66.66,0,0,0,1,0,Kings XI Punjab,2017
KV Sharma,9,6,0,49,19,8.16,41,119.51,0,0,0,5,2,Mumbai Indians,2017
MM Sharma,14,7,1,51,13,8.50,50,102.00,0,0,0,3,1,Kings XI Punjab,2017
RG Sharma,17,16,2,333,67,23.78,273,121.97,0,3,1,31,9,Mumbai Indians,2017
LMP Simmons,7,7,0,137,66,19.57,112,122.32,0,2,1,10,8,Mumbai Indians,2017
NB Singh,2,0,0,0,0,0,0,0,0,0,0,0,0,Gujarat Lions,2017
DR Smith,12,12,1,239,74,21.72,156,153.20,0,2,2,32,8,Gujarat Lions,2017
SPD Smith,15,15,3,472,84,39.33,387,121.96,0,3,0,38,12,Rising Pune Supergiant,2017
TG Southee,3,1,0,7,7,7.00,3,233.33,0,0,0,0,1,Mumbai Indians,2017
BB Sran,1,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2017
B Stanlake,2,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2017
MP Stoinis,5,3,0,17,9,5.66,24,70.83,0,0,0,1,0,Kings XI Punjab,2017
BA Stokes,12,11,1,316,103,31.60,221,142.98,1,1,0,22,15,Rising Pune Supergiant,2017
Swapnil Singh,4,2,0,12,10,6.00,19,63.15,0,0,0,0,0,Kings XI Punjab,2017
AP Tare,3,3,0,18,18,6.00,23,78.26,0,0,2,3,0,Delhi Daredevils,2017
Tejas Baroka,1,0,0,0,0,0,0,0,0,0,0,0,0,Gujarat Lions,2017
R Tewatia,3,2,1,19,15,19.00,11,172.72,0,0,0,4,0,Kings XI Punjab,2017
SN Thakur,12,3,0,0,0,0.00,3,0.00,0,0,3,0,0,Rising Pune Supergiant,2017
MK Tiwary,15,13,3,324,60,32.40,236,137.28,0,2,1,31,11,Rising Pune Supergiant,2017
SS Tiwary,1,1,0,52,52,52.00,43,120.93,0,1,0,9,0,Mumbai Indians,2017
RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17,Rising Pune Supergiant,2017
AJ Tye,6,3,1,53,25,26.50,30,176.66,0,0,0,4,3,Gujarat Lions,2017
JD Unadkat,12,2,2,2,2,0,5,40.00,0,0,0,0,0,Rising Pune Supergiant,2017
RV Uthappa,14,13,0,388,87,29.84,235,165.10,0,5,1,36,21,Kolkata Knight Riders,2017
R Vinay Kumar,1,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2017
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1,Royal Challengers Bangalore,2017
M Vohra,11,9,0,229,95,25.44,159,144.02,0,1,0,23,9,Kings XI Punjab,2017
DA Warner,14,14,3,641,126,58.27,452,141.81,1,4,0,63,26,Sunrisers Hyderabad,2017
Washington Sundar,11,5,4,9,5,9.00,12,75.00,0,0,1,0,0,Rising Pune Supergiant,2017
SR Watson,8,7,1,71,24,11.83,78,91.02,0,0,0,6,1,Royal Challengers Bangalore,2017
KS Williamson,7,7,1,256,89,42.66,169,151.47,0,2,0,20,10,Sunrisers Hyderabad,2017
CR Woakes,13,7,3,46,18,11.50,47,97.87,0,0,0,4,1,Kolkata Knight Riders,2017
J Yadav,2,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2017
SA Yadav,10,7,1,105,31,17.50,88,119.31,0,0,0,8,3,Kolkata Knight Riders,2017
UT Yadav,14,4,4,10,4,0,13,76.92,0,0,0,0,0,Kolkata Knight Riders,2017
Yuvraj Singh,12,11,2,252,70,28.00,177,142.37,0,2,1,30,8,Sunrisers Hyderabad,2017
A Zampa,6,1,0,5,5,5.00,7,71.42,0,0,0,1,0,Rising Pune Supergiant,2017
Abhishek Sharma,3,3,2,63,46,63.00,33,190.90,0,0,0,3,5,Delhi Daredevils,2018
AD Nath,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0,Kings XI Punjab,2018
MA Agarwal,11,11,1,120,30,12.00,94,127.65,0,0,1,9,5,Kings XI Punjab,2018
KK Ahmed,1,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2018
MM Ali,5,4,0,77,65,19.25,46,167.39,0,1,0,4,6,Royal Challengers Bangalore,2018
CJ Anderson,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1,Royal Challengers Bangalore,2018
Ankit Sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan Royals,2018
Anureet Singh,3,1,1,3,3,0,4,75.00,0,0,0,0,0,Rajasthan Royals,2018
JC Archer,10,8,3,15,8,3.00,21,71.42,0,0,3,2,0,Rajasthan Royals,2018
M Ashwin,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Royal Challengers Bangalore,2018
R Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5,Kings XI Punjab,2018
KM Asif,2,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2018
Avesh Khan,6,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2018
Basil Thampi,4,2,1,3,3,3.00,6,50.00,0,0,0,0,0,Sunrisers Hyderabad,2018
RK Bhui,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0,Sunrisers Hyderabad,2018
SW Billings,10,8,0,108,56,13.50,78,138.46,0,1,1,8,5,Chennai Super Kings,2018
STR Binny,7,5,0,44,22,8.80,39,112.82,0,0,1,2,2,Rajasthan Royals,2018
TA Boult,14,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Delhi Daredevils,2018
CR Brathwaite,4,4,1,75,43,25.00,48,156.25,0,0,0,1,8,Sunrisers Hyderabad,2018
DJ Bravo,16,10,6,141,68,35.25,91,154.94,0,1,1,8,10,Chennai Super Kings,2018
JJ Bumrah,14,3,2,10,6,10.00,11,90.90,0,0,1,1,0,Mumbai Indians,2018
JC Buttler,13,13,3,548,95,54.80,353,155.24,0,5,0,52,21,Rajasthan Royals,2018
YS Chahal,14,1,1,0,0,0,4,0.00,0,0,0,0,0,Royal Challengers Bangalore,2018
DL Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,1,4,Chennai Super Kings,2018
PP Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1,1,Kolkata Knight Riders,2018
P Chopra,1,1,0,8,8,8.00,6,133.33,0,0,0,2,0,Rajasthan Royals,2018
DT Christian,4,3,1,26,13,13.00,33,78.78,0,0,0,0,1,Delhi Daredevils,2018
TK Curran,5,4,1,23,18,7.66,28,82.14,0,0,0,3,0,Kolkata Knight Riders,2018
BCJ Cutting,9,6,2,96,37,24.00,58,165.51,0,0,0,5,8,Mumbai Indians,2018
CJ Dala,1,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2018
A Dananjaya,1,1,1,4,4,0,5,80.00,0,0,0,0,0,Mumbai Indians,2018
C de Grandhomme,9,8,3,131,40,26.20,84,155.95,0,0,0,4,10,Royal Challengers Bangalore,2018
Q de Kock,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8,Royal Challengers Bangalore,2018
AB de Villiers,12,11,2,480,90,53.33,275,174.54,0,6,0,39,30,Royal Challengers Bangalore,2018
S Dhawan,16,16,3,497,92,38.23,363,136.91,0,4,1,59,14,Sunrisers Hyderabad,2018
MS Dhoni,16,15,9,455,79,75.83,302,150.66,0,3,0,24,30,Chennai Super Kings,2018
JP Duminy,6,4,3,36,23,36.00,40,90.00,0,0,0,3,1,Mumbai Indians,2018
F du Plessis,6,6,1,162,67,32.40,129,125.58,0,1,0,17,6,Chennai Super Kings,2018
AJ Finch,10,9,1,134,46,16.75,100,134.00,0,0,2,6,8,Kings XI Punjab,2018
G Gambhir,6,5,0,85,55,17.00,88,96.59,0,1,0,8,1,Delhi Daredevils,2018
CH Gayle,11,11,2,368,104,40.88,252,146.03,1,3,1,30,27,Kings XI Punjab,2018
S Gopal,11,4,1,50,24,16.66,45,111.11,0,0,1,5,0,Rajasthan Royals,2018
SP Goswami,6,3,0,52,35,17.33,40,130.00,0,0,0,6,1,Sunrisers Hyderabad,2018
K Gowtham,15,13,4,126,33,14.00,64,196.87,0,0,1,9,9,Rajasthan Royals,2018
AD Hales,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,Sunrisers Hyderabad,2018
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,0,3,1,Chennai Super Kings,2018
DJ Hooda,9,8,4,87,32,21.75,81,107.40,0,0,0,2,3,Sunrisers Hyderabad,2018
Imran Tahir,6,1,1,2,2,0,2,100.00,0,0,0,0,0,Chennai Super Kings,2018
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,3,22,17,Mumbai Indians,2018
SS Iyer,14,14,3,411,93,37.36,310,132.58,0,4,0,29,21,Delhi Daredevils,2018
RA Jadeja,16,10,5,89,27,17.80,74,120.27,0,0,0,3,4,Chennai Super Kings,2018
KM Jadhav,1,1,1,24,24,0,22,109.09,0,0,0,1,2,Chennai Super Kings,2018
MG Johnson,6,2,2,16,12,0,11,145.45,0,0,0,2,0,Kolkata Knight Riders,2018
CJ Jordan,1,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2018
KD Karthik,16,16,6,498,52,49.80,337,147.77,0,2,0,49,16,Kolkata Knight Riders,2018
S Kaul,17,4,1,3,2,1.00,14,21.42,0,0,1,0,0,Sunrisers Hyderabad,2018
SN Khan,7,6,1,51,22,10.20,41,124.39,0,0,1,7,1,Royal Challengers Bangalore,2018
K Khejroliya,3,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2018
H Klaasen,4,4,1,57,32,19.00,47,121.27,0,0,1,5,1,Rajasthan Royals,2018
V Kohli,14,14,3,530,92,48.18,381,139.10,0,4,0,52,18,Royal Challengers Bangalore,2018
Kuldeep Yadav,16,3,2,12,7,12.00,24,50.00,0,0,0,1,0,Kolkata Knight Riders,2018
DS Kulkarni,8,2,1,6,3,6.00,7,85.71,0,0,0,0,0,Rajasthan Royals,2018
B Kumar,12,4,2,13,7,6.50,16,81.25,0,0,1,1,0,Sunrisers Hyderabad,2018
S Lamichhane,3,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2018
B Laughlin,7,2,1,1,1,1.00,4,25.00,0,0,1,0,0,Rajasthan Royals,2018
E Lewis,13,13,0,382,65,29.38,276,138.40,0,2,2,32,24,Mumbai Indians,2018
MK Lomror,2,2,1,20,11,20.00,21,95.23,0,0,0,1,0,Rajasthan Royals,2018
CA Lynn,16,16,1,491,74,32.73,377,130.23,0,3,1,56,18,Kolkata Knight Riders,2018
MJ McClenaghan,11,5,3,11,11,5.50,10,110.00,0,0,2,1,1,Mumbai Indians,2018
BB McCullum,6,6,0,127,43,21.16,88,144.31,0,0,1,16,6,Royal Challengers Bangalore,2018
Mandeep Singh,14,13,3,252,47,25.20,186,135.48,0,0,0,16,11,Royal Challengers Bangalore,2018
M Markande,14,6,4,21,7,10.50,24,87.50,0,0,0,2,0,Mumbai Indians,2018
GJ Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,0,14,9,Delhi Daredevils,2018
DA Miller,3,3,1,74,26,37.00,64,115.62,0,0,0,3,2,Kings XI Punjab,2018
A Mishra,10,1,1,1,1,0,2,50.00,0,0,0,0,0,Delhi Daredevils,2018
Mohammad Nabi,2,2,0,18,14,9.00,12,150.00,0,0,0,3,0,Sunrisers Hyderabad,2018
Mohammed Shami,4,1,0,7,7,7.00,6,116.66,0,0,0,1,0,Delhi Daredevils,2018
Mohammed Siraj,11,4,2,25,14,12.50,22,113.63,0,0,0,2,1,Royal Challengers Bangalore,2018
CH Morris,4,4,3,46,27,46.00,26,176.92,0,0,0,3,2,Delhi Daredevils,2018
Mujeeb Ur Rahman,11,2,1,10,10,10.00,7,142.85,0,0,1,2,0,Kings XI Punjab,2018
C Munro,5,5,0,63,33,12.60,41,153.65,0,0,2,7,4,Delhi Daredevils,2018
Mustafizur Rahman,7,2,1,1,1,1.00,3,33.33,0,0,0,0,0,Mumbai Indians,2018
S Nadeem,6,1,1,6,6,0,8,75.00,0,0,0,0,0,Delhi Daredevils,2018
KK Nair,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13,Kings XI Punjab,2018
SP Narine,16,16,0,357,75,22.31,188,189.89,0,2,0,40,23,Kolkata Knight Riders,2018
P Negi,2,2,0,3,3,1.50,5,60.00,0,0,1,0,0,Royal Challengers Bangalore,2018
L Ngidi,7,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2018
NV Ojha,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,Delhi Daredevils,2018
MK Pandey,15,13,2,284,62,25.81,246,115.44,0,3,1,22,5,Sunrisers Hyderabad,2018
HH Pandya,13,13,4,260,50,28.88,195,133.33,0,1,0,20,11,Mumbai Indians,2018
KH Pandya,14,13,3,228,41,22.80,157,145.22,0,0,0,22,10,Mumbai Indians,2018
RR Pant,14,14,1,684,128,52.61,394,173.60,1,5,1,68,37,Delhi Daredevils,2018
AR Patel,9,8,2,80,19,13.33,69,115.94,0,0,0,3,4,Kings XI Punjab,2018
HV Patel,5,2,1,60,36,60.00,33,181.81,0,0,0,1,6,Delhi Daredevils,2018
PA Patel,6,6,1,153,53,30.60,109,140.36,0,1,0,20,4,Royal Challengers Bangalore,2018
YK Pathan,15,13,4,260,45,28.88,200,130.00,0,0,0,22,11,Sunrisers Hyderabad,2018
LE Plunkett,7,2,1,1,1,1.00,3,33.33,0,0,1,0,0,Delhi Daredevils,2018
KA Pollard,9,8,1,133,50,19.00,100,133.00,0,1,1,10,7,Mumbai Indians,2018
M Prasidh Krishna,7,2,2,1,1,0,5,20.00,0,0,0,0,0,Kolkata Knight Riders,2018
AM Rahane,15,14,1,370,65,28.46,313,118.21,0,1,0,39,5,Rajasthan Royals,2018
KL Rahul,14,14,2,659,95,54.91,416,158.41,0,6,0,66,32,Kings XI Punjab,2018
SK Raina,15,15,3,445,75,37.08,336,132.44,0,4,0,46,12,Chennai Super Kings,2018
AS Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,0,1,0,Kings XI Punjab,2018
N Rana,15,15,2,304,59,23.38,232,131.03,0,1,0,26,14,Kolkata Knight Riders,2018
Rashid Khan,17,7,2,59,34,11.80,31,190.32,0,0,2,3,6,Sunrisers Hyderabad,2018
AT Rayudu,16,16,2,602,100,43.00,402,149.75,1,3,1,53,34,Chennai Super Kings,2018
JJ Roy,5,5,1,120,91,30.00,94,127.65,0,1,0,9,7,Delhi Daredevils,2018
AD Russell,16,14,3,316,88,28.72,171,184.79,0,1,1,17,31,Kolkata Knight Riders,2018
WP Saha,11,10,2,122,35,15.25,102,119.60,0,0,1,17,1,Sunrisers Hyderabad,2018
SV Samson,15,15,1,441,92,31.50,320,137.81,0,3,1,30,19,Rajasthan Royals,2018
Sandeep Sharma,12,3,1,0,0,0.00,4,0.00,0,0,2,0,0,Sunrisers Hyderabad,2018
PJ Sangwan,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,Mumbai Indians,2018
JPR Scantlebury-Searles,4,2,1,8,6,8.00,6,133.33,0,0,0,0,1,Kolkata Knight Riders,2018
V Shankar,13,11,7,212,54,53.00,148,143.24,0,1,0,11,11,Delhi Daredevils,2018
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5,Sunrisers Hyderabad,2018
KV Sharma,6,1,1,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2018
MM Sharma,9,4,3,10,4,10.00,13,76.92,0,0,0,1,0,Kings XI Punjab,2018
RG Sharma,14,14,2,286,94,23.83,215,133.02,0,2,3,25,12,Mumbai Indians,2018
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10,Delhi Daredevils,2018
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,1,0,Kolkata Knight Riders,2018
DR Shorey,1,1,0,8,8,8.00,9,88.88,0,0,0,0,1,Chennai Super Kings,2018
DJM Short,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,Rajasthan Royals,2018
Shubman Gill,13,11,5,203,57,33.83,139,146.04,0,1,0,22,5,Kolkata Knight Riders,2018
RK Singh,4,4,0,29,16,7.25,31,93.54,0,0,0,4,0,Kolkata Knight Riders,2018
IS Sodhi,6,1,0,1,1,1.00,6,16.66,0,0,0,0,0,Rajasthan Royals,2018
TG Southee,8,4,2,52,36,26.00,46,113.04,0,0,0,5,1,Royal Challengers Bangalore,2018
BB Sran,6,4,3,3,2,3.00,7,42.85,0,0,0,0,0,Kings XI Punjab,2018
B Stanlake,4,1,1,5,5,0,2,250.00,0,0,0,1,0,Sunrisers Hyderabad,2018
MP Stoinis,7,7,3,99,29,24.75,76,130.26,0,0,0,6,4,Kings XI Punjab,2018
BA Stokes,13,13,1,196,45,16.33,161,121.73,0,0,1,13,6,Rajasthan Royals,2018
R Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,0,5,1,Delhi Daredevils,2018
SN Thakur,13,1,1,15,15,0,5,300.00,0,0,0,3,0,Chennai Super Kings,2018
MK Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,0,4,1,Kings XI Punjab,2018
RA Tripathi,12,12,3,226,80,25.11,167,135.32,0,1,0,18,8,Rajasthan Royals,2018
AJ Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,2,1,Kings XI Punjab,2018
JD Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,1,6,1,Rajasthan Royals,2018
RV Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,0,30,21,Kolkata Knight Riders,2018
M Vijay,1,1,0,12,12,12.00,10,120.00,0,0,0,0,1,Chennai Super Kings,2018
R Vinay Kumar,2,1,1,6,6,0,3,200.00,0,0,0,1,0,Kolkata Knight Riders,2018
M Vohra,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4,Royal Challengers Bangalore,2018
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,0,5,4,Royal Challengers Bangalore,2018
SR Watson,15,15,1,555,117,39.64,359,154.59,2,2,1,44,35,Chennai Super Kings,2018
DJ Willey,3,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2018
KS Williamson,17,17,3,735,84,52.50,516,142.44,0,8,1,63,28,Sunrisers Hyderabad,2018
CR Woakes,5,4,2,17,11,8.50,19,89.47,0,0,0,1,1,Royal Challengers Bangalore,2018
MA Wood,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,Chennai Super Kings,2018
SA Yadav,14,14,0,512,72,36.57,384,133.33,0,4,1,61,16,Mumbai Indians,2018
UT Yadav,14,5,1,3,1,0.75,11,27.27,0,0,2,0,0,Royal Challengers Bangalore,2018
Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,0,6,2,Kings XI Punjab,2018
